input_index,orig_root,orig_stem,orig_leaf,orig_fruit,orig_fruit_margin,pred_root,pred_stem,pred_leaf,pred_fruit,fruit_margin,num_point_differences,orig_length,generated_length
0,1.936455,1.955121,1.849766,1.766475,-0.1886460000000001,8.684433937072754,8.638145446777344,8.385485649108887,10.912622451782227,2.2281885147094727,104,165,165
1,1.018546,0.997617,0.900933,0.811239,-0.2073069999999999,1.2709513902664185,1.1852645874023438,1.20671546459198,2.639878273010254,1.3689268827438354,105,165,165
2,0.999806,0.965078,0.883438,0.781269,-0.21853699999999998,2.7604315280914307,2.5983078479766846,2.524831533432007,4.26063871383667,1.5002071857452393,110,165,165
3,2.934092,3.010645,2.808983,2.733836,-0.27680899999999964,1.2931127548217773,1.1974425315856934,1.1475765705108643,3.767324924468994,2.474212169647217,103,165,165
4,3.97588,4.16381,4.051346,3.864861,-0.2989489999999999,9.257710456848145,9.446988105773926,9.382950782775879,10.83498477935791,1.3879966735839844,87,165,165
5,2.537905,2.610159,2.442508,2.282849,-0.32730999999999977,5.4243268966674805,5.606612205505371,5.434382915496826,6.732085227966309,1.1254730224609375,92,165,165
6,1.947603,1.983965,1.862313,1.666972,-0.3169930000000001,1.4038949012756348,1.3041086196899414,1.416743516921997,3.085819959640503,1.6690764427185059,106,165,165
7,3.343983,3.398712,3.206647,3.212897,-0.18581500000000029,2.078923225402832,1.9772570133209229,1.9066035747528076,4.868830680847168,2.789907455444336,126,165,165
8,3.885369,3.983626,3.808386,3.651753,-0.3318730000000003,8.82042121887207,9.02918815612793,8.85023021697998,11.14463996887207,2.1154518127441406,100,165,165
9,1.364399,1.318688,1.18869,1.12852,-0.23587899999999995,5.98239803314209,6.216760635375977,6.196813106536865,7.710312843322754,1.4935522079467773,99,165,165
10,2.624395,2.66017,2.494747,2.553624,-0.10654599999999981,2.1467742919921875,2.1385929584503174,2.128331184387207,4.268580913543701,2.1218066215515137,105,165,165
11,2.72825,2.70539,2.507909,2.442715,-0.28553499999999987,4.467123985290527,4.4401960372924805,4.177553176879883,6.616552829742432,2.1494288444519043,101,165,165
12,1.768464,1.734149,1.594516,1.565268,-0.20319599999999993,15.296146392822266,15.851774215698242,15.771527290344238,17.420154571533203,1.568380355834961,108,165,165
13,2.471465,2.565546,2.452111,2.295987,-0.2695590000000001,6.621767997741699,6.595890522003174,6.43197774887085,8.289852142333984,1.6680841445922852,106,165,165
14,1.88459,1.92557,1.8023,1.801179,-0.12439099999999992,8.560380935668945,8.794565200805664,8.58501148223877,11.049978256225586,2.255413055419922,109,165,165
15,1.475126,1.490144,1.379771,1.306815,-0.18332899999999985,4.169097900390625,3.81699538230896,3.7050063610076904,6.1353020668029785,1.9662041664123535,114,165,165
16,1.96989,1.939731,1.803865,1.663127,-0.3067629999999999,1.0407353639602661,1.1820323467254639,1.2993229627609253,3.4258902072906494,2.126567244529724,102,165,165
17,0.678368,0.636935,0.5813,0.495453,-0.182915,7.1582932472229,7.163527965545654,6.950709342956543,9.263875961303711,2.1003479957580566,111,165,165
18,0.773393,0.718425,0.63975,0.528748,-0.244645,6.290345191955566,6.190770149230957,5.853979587554932,7.940740585327148,1.650395393371582,101,165,165
19,1.064807,1.054876,0.946748,0.854534,-0.21027300000000004,4.0083770751953125,4.056682586669922,3.869117498397827,6.682837963104248,2.626155376434326,111,165,165
20,1.5592,1.564857,1.460177,1.319716,-0.24514100000000005,4.411404609680176,4.221212863922119,4.080629825592041,6.5530195236206055,2.1416149139404297,121,165,165
